seri;model;titles;year;km;color;prices;date;location
Boxster;Boxster;YETK_L_ BAY_ DEM_RKOLLAR Porsche Boxster 2.5 Boxster Tiptronic;1998;99.880;Siyah;949.950 TL;11Nisan2023;_stanbul Üsküdar
Boxster;Boxster;YETK_L_ BAY_ DEM_RKOLLAR Porsche Boxster 2.5 Boxster Tiptronic Yetkili Bayi;1998;99.880;Siyah;949.950 TL;11Nisan2023;_stanbul Üsküdar
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-_CHRONO-XENON-19""_JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;_stanbul _i_li
Cayman;Cayman;STAR MOTORS'DAN BAY_ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE;2014;98.500;Gri;2.950.000 TL;18Nisan2023;_stanbul Kadıköy
Cayman;Cayman;STAR MOTORS'DAN BAY_ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE;2014;98.500;Gri;2.950.000 TL;18Nisan2023;_stanbul Kadıköy
Cayman;Cayman;STAR MOTORS'DAN BAY_ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE;2014;98.500;Gri;2.950.000 TL;18Nisan2023;_stanbul Kadıköy
Panamera;Panamera Diesel;BAY__ 2013 MODEL 2014 ÇIKI_LI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAY__ 2013 MODEL 2014 ÇIKI_LI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
Panamera;Panamera Diesel;BAY__ 2013 MODEL 2014 ÇIKI_LI 96000KM HATASIZ MAKYAJLI KASA;2013;98.500;Beyaz;4.350.000 TL;27Mart2023;Antalya Alanya
