seri;model
718;718
718;Boxster
718;Boxster T
718;Cayman
911;Carrera
911;Carrera 4
911;Carrera 4 GTS
911;Carrera 4S
911;Carrera GTS
911;Carrera S
911;Carrera Targa
911;GT2
911;GT2 RS
911;GT3
911;GT3 RS
911;Targa 4
911;Targa 4 GTS
911;Targa 4S
911;Turbo
928;S4
Boxster;Boxster
Boxster;S
Cayman;Cayman
Cayman;S
Panamera;Panamera
Panamera;Panamera 4
Panamera;Panamera 4 - 10 Years Edition
Panamera;Panamera 4 E-Hybrid
Panamera;Panamera 4 Platinum Edition
Panamera;Panamera 4 Sport Turismo
Panamera;Panamera 4S
Panamera;Panamera 4S Diesel
Panamera;Panamera 4S E-Hybrid
Panamera;Panamera Diesel
Panamera;Panamera GTS
Panamera;Panamera S
Panamera;Panamera S Hybrid
Panamera;Panamera Turbo
Panamera;Panamera Turbo S
Panamera;Panamera Turbo S E-Hybrid
Taycan;4 Cross Turismo
Taycan;4S
Taycan;4S Cross Turismo
Taycan;4S Performance
Taycan;4S Performance Plus
Taycan;4S Sport Turismo
Taycan;GTS
Taycan;GTS Sport Turismo
Taycan;Taycan
Taycan;Turbo
Taycan;Turbo S
Taycan;Turbo S Cross Turismo
