seri,model,titles,year,km,color,prices,date,location,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location"""
911,Turbo S,SS MOTORS BAYİ 2021 911 TURBO S-ACC-LIFT-SPOR EGZOZ-BURMESTER,2021,13.879,Gri,26.500.000 TL,"01 Mayıs
2023","İstanbul
Şişli",
Panamera,Panamera GTS,2013 Porshe Panemera 4.800 GTS 430 bg Hatasız Vergi Barısl,2013,169.000,Siyah,3.875.000 TL,"01 Mayıs
2023","İstanbul
Küçükçekmece",
Taycan,Turbo,VOL MOTORS 2020 PORSCHE TAYCAN TURBO -ARKA AKS -22.000KM,2020,22.000,Siyah,5.550.000 TL,"01 Mayıs
2023","İstanbul
Esenyurt",
Panamera,Panamera Diesel,İLKAY ATAR MNG 2013 Model Porsche Panamera Diesel Platinum Edt.,2013,267.000,Beyaz,2.799.000 TL,"01 Mayıs
2023","İzmir
Balçova",
Panamera,Panamera Diesel,2012 PORSCHE PANAMERA DİESEL HATASIZ-BOYASIZ-M­ARSHALA-SOĞUTMA-,2012,220.000,Beyaz,3.000.000 TL,"01 Mayıs
2023","İstanbul
Ataşehir",
Panamera,Panamera Diesel,DOĞUŞOTO ÇIKIŞLI BOSE SOĞUTMA ARKA KLİMA KARBON PUSULA ELK BAĞAJ,2015,123.000,Beyaz,4.450.000 TL,"01 Mayıs
2023","Bursa
Nilüfer",
911,Carrera 4S,STATÜ MOTORSDAN PORSCHE 911 CARRERA 4S,2006,63.000,Siyah,3.450.000 TL,"01 Mayıs
2023","Denizli
Merkezefendi",
Taycan,Taycan,"""OTOROLL"" 2021 PORSCHE TAYCAN SPORT DESİGN 476 Hp",2021,15.000,Gri,5.900.000 TL,"01 Mayıs
2023","İstanbul
Bakırköy",
Taycan,Turbo,AUTO CESUR'DAN 2021 PORSCHE TAYCAN TURBO,2021,8.962,Gri,6.650.000 TL,"01 Mayıs
2023","Balıkesir
Karesi",
Taycan,4S Performance Plus,21BAYİ TAYCAN4S PERFORMANCE PLUS-22KW-TRÜF-21''E JANT-ÖZEL DİSK,2021,11.500,Füme,6.650.000 TL,"01 Mayıs
2023","İstanbul
Büyükçekmece",
Taycan,4S Performance Plus,ERFA PREMIUM 2020 TAYCAN 4S PERFORMANCE PLUS YOLCU EKRAN,2020,9.600,Beyaz,4.490.000 TL,"30 Nisan
2023","İstanbul
Ataşehir",
Cayman,S,CAYMAN S BAYİ İÇİ TABA FATURALI TÜM BAKIMLARI YENİ,2006,154.000,Siyah,1.425.000 TL,"30 Nisan
2023","İstanbul
Ümraniye",
Taycan,4S Performance Plus,FER MOTORS 2021 HATASIZ SPORT DESİGN+ARKA AKS+BURMAST­ER+SOĞUTMA,2021,26.000,Füme,5.575.000 TL,"30 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera Diesel,SERVİS BAKIMLI,2012,245.000,Siyah,3.350.000 TL,"30 Nisan
2023","Kocaeli
Gebze",
Cayman,Cayman,PORSCHE CAYMAN,2008,105.000,Siyah,1.785.000 TL,"30 Nisan
2023","İstanbul
Bağcılar",
Taycan,4S Performance Plus,Sahibinden doğuş çıkışlı hatasız en ful paket,2021,29.000,Siyah,6.950.000 TL,"30 Nisan
2023","İzmir
Konak",
Cayman,Cayman,TARGET MOTORS 2013 PORSCHE CAYMAN 2.7 PDK DOĞUŞ BAYİ HATASIZ,2013,40.000,Füme,3.300.000 TL,"30 Nisan
2023","İstanbul
Beşiktaş",
Panamera,Panamera Diesel,Sahibinden satılık,2013,205.500,Beyaz,3.335.000 TL,"30 Nisan
2023","Batman
Merkez",
Taycan,4S Performance Plus,10.500 KMDE 2021 PORSCHE TAYCAN 4S PERFORMANS PLUS BAYİ BOYASIZ,2021,10.500,Gri,5.850.000 TL,"30 Nisan
2023","Bursa
Osmangazi",
911,Carrera 4S,SS MOTORS 2014 CARRERA 4S CABRIO-SPOR EGZOZ-CHRON­O-BOSE-PDCC,2014,40.946,Siyah,7.875.000 TL,"30 Nisan
2023","İstanbul
Şişli",
911,Carrera,İlk Sahibinden 911 Yetkili Servis Bakımlı,1999,202.000,Gri,1.190.000 TL,"30 Nisan
2023","İstanbul
Kadıköy",
Panamera,Panamera 4 E-Hybrid,AYAR AUTO PANAMERA 23 4E-HYBRID 462HP SOĞUTMA AIR BOSE CHRONO,2022,6.010,Gri,13.750.000 TL,"30 Nisan
2023","İstanbul
Bakırköy",
Panamera,Panamera Diesel,SAHİBİNDEN PORCHE PANEMERA DİESEL BAYİ ÇIKIŞLI,2012,245.000,Siyah,2.320.000 TL,"30 Nisan
2023","İstanbul
Ümraniye",
Cayman,Cayman,2014 PORSCHE CAYMAN 53 BİN KM BAYİ ÇIKIŞLI,2014,53.000,Siyah,3.200.000 TL,"30 Nisan
2023","İstanbul
Üsküdar",
Panamera,Panamera Turbo,İLK SAHİBİNDEN YABANCIDAN YABANCIYA Foreigner to Foreigner,2014,160.000,Siyah,1.295.000 TL,"30 Nisan
2023","Bursa
Nilüfer",
911,Carrera 4S,MEHCAR-CARRERA 4S PDK TECHART -SPOR EGSOZ-SOGUTMA-VERGİ BARİSLİ,2012,107.000,Beyaz,5.625.000 TL,"30 Nisan
2023","İstanbul
Küçükçekmece",
Cayman,Cayman,2014 Porsche Cayman 2.7 PDK - 40.000km - SOUL Egzoz - Alcantara,2014,40.000,Siyah,3.500.000 TL,"30 Nisan
2023","İstanbul
Sancaktepe",
,,,,,,,,,
Taycan,4S Performance Plus,Porsche taycan 4s pp+ paket,2021,4.200,Gri,5.750.000 TL,"30 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera Diesel,"2012 PORSCHE PANAMERA DİZEL BAYİ CARBON BOSE GTS EDİTİON 21""",2012,197.000,Beyaz,2.615.000 TL,"30 Nisan
2023","Bursa
Karacabey",
Cayman,Cayman,POSH MOTORS_2008 PORSCHE CAYMAN MANUEL-BAYİ ÇIKIŞLI,2008,146.000,Siyah,1.520.000 TL,"30 Nisan
2023","İstanbul
Pendik",
Taycan,Taycan,2021 DOĞUŞ BAYİİ ÇIKIŞLI HATASIZ BOYASIZ TRAMERSİZ 22 KW SARJ,2021,6.500,Beyaz,5.620.000 TL,"30 Nisan
2023","İzmir
Karşıyaka",
Panamera,Panamera 4 E-Hybrid,ZABA MOTORS'DAN PORSCHE PANAMERA 4 E-HYBRİD AİR-ARKA AKS-SOĞUTMA,2022,7.895,Siyah,12.500.000 TL,"30 Nisan
2023","İstanbul
Bağcılar",
Taycan,Turbo S,DOĞUŞ ÇIKIŞLI 2021 TAYCAN TURBO S - INNODRIVE - BURMESTER - KARB,2021,7.300,Siyah,6.750.000 TL,"30 Nisan
2023","İzmir
Buca",
Panamera,Panamera Diesel,TREMERSİz değişensiz 2012,2012,167.000,Beyaz,2.100.000 TL,"30 Nisan
2023","Bursa
Osmangazi",
Panamera,Panamera Diesel,Tertemiz Sadece Dosta gider SON FİYAT,2012,118.000,Siyah,2.200.000 TL,"30 Nisan
2023","İstanbul
Ataşehir",
Panamera,Panamera Diesel,PORSCHE_PANAMERA­_2013_PUSULA_VA­KUM_SOĞUTMA_CARB­ON_AİR_PLATİNUM,2013,215.000,Siyah,3.100.000 TL,"30 Nisan
2023","Ankara
Akyurt",
Panamera,Panamera Diesel,HATASIZ BOYASIZ TRAMERSİZ BOSE+SOĞUTMA+MATR İX+BAYİ+360KAMERA,2014,135.000,Beyaz,4.850.000 TL,"30 Nisan
2023","Gaziantep
Şehitkamil",
911,Turbo S,"ÇAĞATAY AUTO 2022 PORSCHE 911 TURBO-S CABRIO 650 HP/0-100 2,7 SN",2022,6.001,Siyah,25.750.000 TL,"30 Nisan
2023","İstanbul
Avcılar",
Panamera,Panamera Diesel,ASKAR OTOMOTİV'DEN 2015 PANAMERA DIESEL DOĞUŞ ÇIKIŞLI,2015,162.850,Siyah,3.890.000 TL,"29 Nisan
2023","İstanbul
Bağcılar",
Panamera,Panamera 4 - 10 Years Edition,EKCAR'DAN 2020 (%18KDV) PANAMERA 4 - 10 YEARS EDITION HATASIZ,2020,48.000,Siyah,7.920.000 TL,"29 Nisan
2023","İstanbul
Bağcılar",
