seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
911,Turbo S,SS MOTORS BAYİ 2021 911 TURBO S-ACC-LIFT-SPOR EGZOZ-BURMESTER,2021,13879,Gri,26500000,01/05/2023,,İstanbul,Şişli,40,180.0,77.10555555555555
Panamera,Panamera GTS,2013 Porshe Panemera 4.800 GTS 430 bg Hatasız Vergi Barısl,2013,1690,Siyah,3875000,01/05/2023,,İstanbul,Küçükçekmece,40,1685.0,1.002967359050445
Taycan,Turbo,VOL MOTORS 2020 PORSCHE TAYCAN TURBO -ARKA AKS -22.000KM,2020,220,Siyah,5550000,01/05/2023,,İstanbul,Esenyurt,40,260.0,0.8461538461538461
Panamera,Panamera Diesel,İLKAY ATAR MNG 2013 Model Porsche Panamera Diesel Platinum Edt.,2013,2670,Beyaz,2799000,01/05/2023,,İzmir,Balçova,41,1685.0,1.5845697329376855
Panamera,Panamera Diesel,2012 PORSCHE PANAMERA DİESEL HATASIZ-BOYASIZ-M­ARSHALA-SOĞUTMA-,2012,2200,Beyaz,3000000,01/05/2023,,İstanbul,Ataşehir,40,1970.0,1.116751269035533
Panamera,Panamera Diesel,DOĞUŞOTO ÇIKIŞLI BOSE SOĞUTMA ARKA KLİMA KARBON PUSULA ELK BAĞAJ,2015,1230,Beyaz,4450000,01/05/2023,,Bursa,Nilüfer,21,1280.0,0.9609375
911,Carrera 4S,STATÜ MOTORSDAN PORSCHE 911 CARRERA 4S,2006,630,Siyah,3450000,01/05/2023,,Denizli,Merkezefendi,25,1210.0,0.5206611570247934
Taycan,Taycan,"""OTOROLL"" 2021 PORSCHE TAYCAN SPORT DESİGN 476 Hp",2021,150,Gri,5900000,01/05/2023,,İstanbul,Bakırköy,40,180.0,0.8333333333333334
Taycan,Turbo,AUTO CESUR'DAN 2021 PORSCHE TAYCAN TURBO,2021,8962,Gri,6650000,01/05/2023,,Balıkesir,Karesi,12,180.0,49.78888888888889
Taycan,4S Performance Plus,21BAYİ TAYCAN4S PERFORMANCE PLUS-22KW-TRÜF-21''E JANT-ÖZEL DİSK,2021,115,Füme,6650000,01/05/2023,,İstanbul,Büyükçekmece,40,180.0,0.6388888888888888
Taycan,4S Performance Plus,ERFA PREMIUM 2020 TAYCAN 4S PERFORMANCE PLUS YOLCU EKRAN,2020,96,Beyaz,4490000,30/04/2023,,İstanbul,Ataşehir,40,260.0,0.36923076923076925
