id,Il,avg_price,max_price,min_price,data_counted,index1
1,Adana,3920370.3703703703,6300000,1250000,27,1
2,Adıyaman,7250000.0,7250000,7250000,2,2
0,Afyonkarahisar,3740454.5454545454,6450000,2550000,22,0
5,Aksaray,8950000.0,8950000,8950000,2,5
6,Amasya,3300000.0,4200000,3000000,4,6
7,Ankara,4674511.804878049,16500000,795000,328,7
8,Antalya,4672183.5703125,13000000,1299999,128,8
11,Aydın,6787777.777777778,7250000,4150000,9,11
12,Balıkesir,3292142.8571428573,4850000,1525000,21,12
14,Batman,3563692.3076923075,5050000,2899000,13,14
17,Bingöl,2350000.0,2350000,2350000,2,17
19,Bolu,5812500.0,7000000,5250000,4,19
20,Burdur,2890000.0,3250000,2530000,2,20
21,Bursa,5282849.990740741,18500000,1295000,108,21
25,Denizli,3884125.0,8750000,2325000,40,25
26,Diyarbakır,2954166.6666666665,4950000,2400000,6,26
27,Düzce,6725000.0,12450000,1525000,12,27
29,Elazığ,7960000.0,10900000,4050000,5,29
30,Erzincan,2956666.6666666665,2990000,2890000,3,30
31,Erzurum,4225000.0,4250000,4175000,3,31
32,Eskişehir,3345238.095238095,6150000,2350000,21,32
33,Gaziantep,4255730.769230769,11000000,2200000,26,33
34,Giresun,5504642.857142857,7500000,3740000,7,34
37,Hatay,3721250.0,6275000,2500000,8,37
42,Kahramanmaraş,3675500.0,5780000,2500000,10,42
46,Kastamonu,3566666.6666666665,4700000,3000000,3,46
47,Kayseri,4452083.333333333,5750000,2690000,12,47
52,Kocaeli,4967333.333333333,11300000,2050000,27,52
53,Konya,3585200.0,8750000,2450000,50,53
54,Kütahya,4238000.0,4750000,3500000,5,54
50,Kırklareli,2920666.6666666665,3375000,2349500,6,50
49,Kırıkkale,4200000.0,4850000,3750000,5,49
55,Malatya,3510000.0,3510000,3510000,3,55
56,Manisa,4063333.3333333335,4090000,4050000,3,56
57,Mardin,5193750.0,7100000,2400000,8,57
58,Mersin,4490020.408163265,9150000,1155000,49,58
59,Muğla,3789375.0,6350000,2665000,8,59
61,Nevşehir,2885000.0,3200000,2570000,2,61
63,Ordu,4040000.0,4040000,4040000,3,63
65,Rize,3896651.5,4035053,3775000,4,65
66,Sakarya,3226141.304347826,7450000,1500000,23,66
67,Samsun,4813947.368421053,14100000,500000,19,67
70,Sinop,3650000.0,3650000,3650000,3,70
72,Sivas,6012500.0,9650000,2950000,8,72
73,Tekirdağ,3718928.5714285714,6130000,2080000,14,73
75,Trabzon,7349000.0,13150000,3525000,20,75
78,Van,3426000.0,5150000,2250000,5,78
79,Yalova,3478571.4285714286,4200000,3050000,7,79
81,Zonguldak,3356666.6666666665,3470000,3150000,3,81
22,Çanakkale,2623000.0,3800000,1825000,5,22
24,Çorum,6217500.0,7450000,3150000,4,24
40,İstanbul,5959003.591130012,32500000,655000,1646,40
41,İzmir,4734208.839779005,26500000,1400000,181,41
68,Şanlıurfa,3841666.6666666665,4350000,2750000,6,68
