seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
Boxster,Boxster,YETKİLİ BAYİ DEMİRKOLLAR Porsche Boxster 2.5 Boxster Tiptronic,1998,99880,Siyah,949950,2023-04-11,İstanbul,Üsküdar,40,104000.0,0.9603846153846154
Boxster,Boxster,YETKİLİ BAYİ DEMİRKOLLAR Porsche Boxster 2.5 Boxster Tiptronic Yetkili Bayi,1998,99880,Siyah,949950,2023-04-11,İstanbul,Üsküdar,40,104000.0,0.9603846153846154
911,Carrera 4S,"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM",2006,98500,Siyah,2750000,2023-04-15,İstanbul,Şişli,40,81000.0,1.2160493827160495
Cayman,Cayman,STAR MOTORS'DAN BAYİ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE,2014,98500,Gri,2950000,2023-04-18,İstanbul,Kadıköy,40,54000.0,1.8240740740740742
Panamera,Panamera Diesel,BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA,2013,98500,Beyaz,4350000,2023-03-27,Antalya,Alanya,8,178000.0,0.5533707865168539
911,Carrera 4S,"""BODRUM OTO"" 2006 PORSCHE 911 CARRERA 4S 355 HP 4WD",2006,98500,Siyah,2665000,2023-03-07,Muğla,Bodrum,59,81000.0,1.2160493827160495
Panamera,Panamera Diesel,Porsche panemera diesel kusursuz en dolusu,2015,97800,Beyaz,4875000,2023-04-13,İstanbul,Bağcılar,40,136500.0,0.7164835164835165
Panamera,Panamera Diesel,Porsche panemera diesel kusursuz en dolusu,2015,97800,Beyaz,4575000,2023-04-13,İstanbul,Bağcılar,40,136500.0,0.7164835164835165
Panamera,Panamera Diesel,Porshe panemera En dolusu,2015,97500,Beyaz,4875000,2023-04-06,İstanbul,Bağcılar,40,136500.0,0.7142857142857143
Panamera,Panamera Diesel,Porshe panemera En dolusu,2015,97500,Beyaz,4450000,2023-04-06,İstanbul,Bağcılar,40,136500.0,0.7142857142857143
Panamera,Panamera Diesel,Porshe panemera En dolusu,2015,97500,Beyaz,4550000,2023-03-07,İstanbul,Bağcılar,40,136500.0,0.7142857142857143
911,Carrera 4,"996 Carrera 4 Cabrio, Bayi Çıkışlı",2002,90600,Siyah,2050000,2023-04-18,İstanbul,Sarıyer,40,90600.0,1.0
911,Carrera 4,"Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK",2013,89900,Füme,5250000,2023-04-09,Ankara,Çankaya,7,89900.0,1.0
911,Carrera 4,"Sahibinden, 2013 model, 89.000km, Füme İçi Siyah Carrera 4 PDK",2013,89900,Füme,5250000,2023-03-10,Ankara,Çankaya,7,89900.0,1.0
Panamera,Panamera 4S Diesel,"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT",2017,87500,Siyah,9499900,2023-04-07,İstanbul,Bağcılar,40,99000.0,0.8838383838383839
Cayman,Cayman,BAYİİ ÇIKIŞLI-87.5­00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO,2011,87500,Füme,2225500,2023-03-29,İstanbul,Sarıyer,40,87000.0,1.0057471264367817
Panamera,Panamera 4S Diesel,"SÜRMENE OTOMOTİV'DEN SOĞUTMA+21""JANT+BOSE­+AİRMATİC+TURBOKANAT",2017,87500,Siyah,9499900,2023-03-08,İstanbul,Bağcılar,40,99000.0,0.8838383838383839
911,Turbo,BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ,2007,86150,Lacivert,4825000,2023-04-16,İstanbul,Sarıyer,40,86150.0,1.0
911,Turbo,BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ,2007,86150,Lacivert,4825000,2023-03-17,İstanbul,Sarıyer,40,86150.0,1.0
911,Turbo,BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAYİ,2007,86150,Lacivert,4695000,2023-03-17,İstanbul,Sarıyer,40,86150.0,1.0
Panamera,Panamera Diesel,2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE,2014,85950,Füme,4425000,2023-04-12,Ankara,Etimesgut,7,155000.0,0.5545161290322581
Panamera,Panamera Diesel,2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE,2014,85950,Füme,4425000,2023-03-13,Ankara,Etimesgut,7,155000.0,0.5545161290322581
911,Carrera 4S,Porsche 911 Carrera 4S,2010,84800,Siyah,4400000,2023-03-22,İstanbul,Kadıköy,40,83000.0,1.0216867469879518
Cayman,Cayman,TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ,2014,83500,Beyaz,3200000,2023-04-23,İstanbul,Beşiktaş,40,54000.0,1.5462962962962963
Cayman,Cayman,TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAYİİ HATASIZ,2014,83500,Beyaz,3200000,2023-03-24,İstanbul,Beşiktaş,40,54000.0,1.5462962962962963
Cayman,Cayman,TERTEMİZ KUSURSUZ BAYİ,2014,83500,Beyaz,3250000,2023-03-26,İstanbul,Gaziosmanpaşa,40,54000.0,1.5462962962962963
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013,83300,Beyaz,6989000,2023-04-11,İstanbul,Ataşehir,40,54632.0,1.5247474007907453
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013,83300,Beyaz,6289000,2023-04-11,İstanbul,Ataşehir,40,54632.0,1.5247474007907453
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013,83300,Beyaz,6289000,2023-03-12,İstanbul,Ataşehir,40,54632.0,1.5247474007907453
Panamera,Panamera 4,BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP,2017,82500,Siyah,7025000,2023-04-17,Çorum,Kargı,24,82000.0,1.0060975609756098
Panamera,Panamera 4,BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP,2017,82500,Siyah,7110000,2023-04-17,Çorum,Kargı,24,82000.0,1.0060975609756098
Panamera,Panamera 4,BAYİİ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP,2017,82500,Siyah,7550000,2023-04-17,Çorum,Kargı,24,82000.0,1.0060975609756098
911,Carrera 4S,2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRKİYE DE TEK,2011,82500,Siyah,4300000,2023-03-13,İstanbul,Beşiktaş,40,64000.0,1.2890625
Panamera,Panamera 4,BAYii 2017 NOKTA HATASIZ BOYASIZ,2017,81500,Siyah,7050000,2023-04-01,Çorum,Kargı,24,82000.0,0.9939024390243902
Panamera,Panamera 4S Diesel,2017 PANAMERA 4S DİESEL-BAYİİ-SOĞU­TMA-AİRMATİC-ARKA AKS-21''JANT,2017,81400,Füme,8650000,2023-03-19,Trabzon,Akçaabat,75,99000.0,0.8222222222222222
Boxster,Boxster,BAVARIA GARAGE 2000 79.590 km PORSCHE BOXSTER BAYİ,2000,79590,Gümüş Gri,1395000,2023-03-29,İstanbul,Sarıyer,40,79590.0,1.0
Panamera,Panamera 4,BAYii 2017 NOKTA HATASIZ BOYASIZ,2017,79500,Siyah,7220000,2023-04-01,Çorum,Kargı,24,82000.0,0.9695121951219512
Panamera,Panamera 4,BAYii 2017 NOKTA HATASIZ BOYASIZ,2017,79500,Siyah,7450000,2023-04-01,Çorum,Kargı,24,82000.0,0.9695121951219512
911,Carrera 4S,"Baspinar Oto 2008 Porsche Carrera 4S-Doğuş,Bose,C­hrono,78.500km",2008,78500,Füme,3750000,2023-04-08,İstanbul,Sarıyer,40,89574.0,0.8763703753321276
911,Carrera 4S,"Baspinar Oto 2008 Porsche Carrera 4S-Doğuş,Bose,C­hrono,78.500km",2008,78500,Füme,3750000,2023-03-09,İstanbul,Sarıyer,40,89574.0,0.8763703753321276
911,Carrera S,2012 911 CARRERA S PDK_CHRONO_BOSE_CARP­LAY_S.EGZOZ_GERİ.GRŞ,2012,77900,Siyah,5650000,2023-03-24,İstanbul,Kadıköy,40,76450.0,1.0189666448659254
911,Carrera 4S,BOSS 2013 PORSCHE CARRERA 4s CABRIO VERGİ BARIŞLI GTS PAKET!,2013,77400,Beyaz,7500000,2023-04-17,İstanbul,Kadıköy,40,54632.0,1.41675208668912
911,Carrera 4S,BOSS 2013 PORSCHE CARRERA 4s CABRIO VERGİ BARIŞLI GTS PAKET!,2013,77400,Beyaz,7500000,2023-03-18,İstanbul,Kadıköy,40,54632.0,1.41675208668912
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-14,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-19,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1870000,2023-04-22,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,AY SONUNA KADAR BU FİYAT,2009,76500,Siyah,1650000,2023-04-22,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-07,İstanbul,Kadıköy,40,76500.0,1.0
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,76500,Siyah,1827000,2023-04-01,İstanbul,Kadıköy,40,76500.0,1.0
911,Carrera 4S,2013 CARREEA 4S 73000 KM SPOR EGZOZ+CHRONO+MOCA DERİ+BOSE+SOGUTM,2013,73400,Beyaz,5580000,2023-04-14,İstanbul,Tuzla,40,54632.0,1.343534924586323
911,Carrera 4S,2013 CARREEA 4S 73000 KM SPOR EGZOZ+CHRONO+MOCA DERİ+BOSE+SOGUTM,2013,73400,Beyaz,5750000,2023-04-14,İstanbul,Tuzla,40,54632.0,1.343534924586323
